captcha_post_completions,q_post_specific_likeability,q_post_specific_mentacy_belief_scale,q_post_gators_pos,q_post_gators_neg,q_pre_idaq,q_pre_captcha_fun,q_pre_captcha_difficulty,like_c,ment_c,like_x_ment,liking_zone,mentacy_zone,quadrant
3,4.0,-5.0,5.0,4.1,4.6,3.0,3.0,-1.6464646464646462,-3.3030303030303028,5.4383226201408,lower_liking,low_mentacy,lower_liking__low_mentacy
10,6.0,4.0,5.4,3.9,4.066666666666666,5.333333333333333,1.0,0.3535353535353538,5.696969696969697,2.0140801958983796,high_liking,higher_mentacy,high_liking__higher_mentacy
29,6.0,-2.0,4.5,3.9,4.133333333333334,4.666666666666667,3.0,0.3535353535353538,-0.303030303030303,-0.10713192531374356,high_liking,higher_mentacy,high_liking__higher_mentacy
15,6.0,3.0,3.7,4.9,3.8,3.6666666666666665,2.0,0.3535353535353538,4.696969696969697,1.6605448423630256,high_liking,higher_mentacy,high_liking__higher_mentacy
28,6.0,2.0,3.0,3.8,4.466666666666667,5.0,2.0,0.3535353535353538,3.6969696969696972,1.3070094888276718,high_liking,higher_mentacy,high_liking__higher_mentacy
10,6.0,4.0,4.2,3.5,5.2,3.0,4.0,0.3535353535353538,5.696969696969697,2.0140801958983796,high_liking,higher_mentacy,high_liking__higher_mentacy
11,7.0,5.0,5.2,3.3,6.533333333333333,3.6666666666666665,3.0,1.3535353535353538,6.696969696969697,9.06458524640343,high_liking,higher_mentacy,high_liking__higher_mentacy
25,6.0,4.0,4.2,5.2,4.2,5.0,6.0,0.3535353535353538,5.696969696969697,2.0140801958983796,high_liking,higher_mentacy,high_liking__higher_mentacy
30,7.0,5.0,5.2,3.6,6.0,4.333333333333333,1.0,1.3535353535353538,6.696969696969697,9.06458524640343,high_liking,higher_mentacy,high_liking__higher_mentacy
2,4.0,-1.0,3.6,4.1,3.3333333333333335,4.666666666666667,2.0,-1.6464646464646462,0.696969696969697,-1.1475359657177837,lower_liking,higher_mentacy,lower_liking__higher_mentacy
20,5.0,-4.0,4.9,4.4,1.8666666666666667,3.0,2.0,-0.6464646464646462,-2.3030303030303028,1.4888276706458516,lower_liking,higher_mentacy,lower_liking__higher_mentacy
17,6.0,-2.0,4.9,4.6,3.6666666666666665,4.666666666666667,4.0,0.3535353535353538,-0.303030303030303,-0.10713192531374356,high_liking,higher_mentacy,high_liking__higher_mentacy
2,5.0,-4.0,5.8,3.8,1.8,4.0,2.0,-0.6464646464646462,-2.3030303030303028,1.4888276706458516,lower_liking,higher_mentacy,lower_liking__higher_mentacy
5,4.0,-3.0,4.2,5.3,4.6,1.3333333333333333,3.0,-1.6464646464646462,-1.303030303030303,2.1453933272115084,lower_liking,higher_mentacy,lower_liking__higher_mentacy
5,6.0,-3.0,5.5,3.1,4.0,4.0,3.0,0.3535353535353538,-1.303030303030303,-0.46066727884909736,high_liking,higher_mentacy,high_liking__higher_mentacy
11,4.0,-5.0,4.0,4.8,3.1333333333333333,3.3333333333333335,3.0,-1.6464646464646462,-3.3030303030303028,5.4383226201408,lower_liking,low_mentacy,lower_liking__low_mentacy
1,6.0,1.0,4.5,5.3,3.8666666666666663,4.0,2.0,0.3535353535353538,2.6969696969696972,0.953474135292318,high_liking,higher_mentacy,high_liking__higher_mentacy
3,6.0,2.0,5.0,6.3,4.6,2.6666666666666665,3.0,0.3535353535353538,3.6969696969696972,1.3070094888276718,high_liking,higher_mentacy,high_liking__higher_mentacy
10,6.0,-2.0,4.4,5.1,4.4,2.3333333333333335,4.0,0.3535353535353538,-0.303030303030303,-0.10713192531374356,high_liking,higher_mentacy,high_liking__higher_mentacy
10,6.0,-6.0,5.3,4.0,1.8,2.3333333333333335,2.0,0.3535353535353538,-4.303030303030303,-1.5212733394551587,high_liking,low_mentacy,high_liking__low_mentacy
11,6.0,0.0,4.5,3.8,3.533333333333333,3.3333333333333335,4.0,0.3535353535353538,1.696969696969697,0.599938781756964,high_liking,higher_mentacy,high_liking__higher_mentacy
12,6.0,-1.0,5.2,3.9,4.133333333333334,3.0,3.0,0.3535353535353538,0.696969696969697,0.24640342822161024,high_liking,higher_mentacy,high_liking__higher_mentacy
43,5.0,1.0,4.4,4.1,6.266666666666667,3.6666666666666665,5.0,-0.6464646464646462,2.6969696969696972,-1.7434955616773793,lower_liking,higher_mentacy,lower_liking__higher_mentacy
4,5.0,-6.0,3.2,5.7,4.333333333333333,3.3333333333333335,2.0,-0.6464646464646462,-4.303030303030303,2.7817569635751442,lower_liking,low_mentacy,lower_liking__low_mentacy
3,4.0,-5.0,4.4,3.8,3.466666666666667,1.3333333333333333,1.0,-1.6464646464646462,-3.3030303030303028,5.4383226201408,lower_liking,low_mentacy,lower_liking__low_mentacy
5,6.0,-6.0,4.5,4.0,2.466666666666667,4.0,2.0,0.3535353535353538,-4.303030303030303,-1.5212733394551587,high_liking,low_mentacy,high_liking__low_mentacy
15,5.0,1.0,4.8,5.5,3.8666666666666663,3.6666666666666665,2.0,-0.6464646464646462,2.6969696969696972,-1.7434955616773793,lower_liking,higher_mentacy,lower_liking__higher_mentacy
11,7.0,4.0,5.9,4.2,5.333333333333333,2.6666666666666665,1.0,1.3535353535353538,5.696969696969697,7.711049892868076,high_liking,higher_mentacy,high_liking__higher_mentacy
3,5.0,-3.0,4.5,4.3,2.3333333333333335,3.0,4.0,-0.6464646464646462,-1.303030303030303,0.8423630241812056,lower_liking,higher_mentacy,lower_liking__higher_mentacy
4,7.0,3.0,5.9,4.9,5.133333333333334,4.333333333333333,3.0,1.3535353535353538,4.696969696969697,6.357514539332723,high_liking,higher_mentacy,high_liking__higher_mentacy
115,7.0,-6.0,4.5,4.3,4.266666666666667,1.6666666666666667,2.0,1.3535353535353538,-4.303030303030303,-5.824303642485462,high_liking,low_mentacy,high_liking__low_mentacy
34,5.0,4.0,5.0,3.9,3.4,3.3333333333333335,3.0,-0.6464646464646462,5.696969696969697,-3.6828895010713176,lower_liking,higher_mentacy,lower_liking__higher_mentacy
10,3.0,-6.0,4.0,4.8,5.2,1.6666666666666667,4.0,-2.646464646464646,-4.303030303030303,11.38781756963575,lower_liking,low_mentacy,lower_liking__low_mentacy
11,6.0,1.0,4.8,3.0,5.133333333333334,2.0,5.0,0.3535353535353538,2.6969696969696972,0.953474135292318,high_liking,higher_mentacy,high_liking__higher_mentacy
10,6.0,-6.0,4.2,4.9,6.666666666666667,2.3333333333333335,1.0,0.3535353535353538,-4.303030303030303,-1.5212733394551587,high_liking,low_mentacy,high_liking__low_mentacy
26,4.0,-4.0,3.8,4.6,3.7333333333333334,6.333333333333333,4.0,-1.6464646464646462,-2.3030303030303028,3.7918579736761546,lower_liking,higher_mentacy,lower_liking__higher_mentacy
7,5.0,-6.0,4.6,3.7,3.7333333333333334,4.0,6.0,-0.6464646464646462,-4.303030303030303,2.7817569635751442,lower_liking,low_mentacy,lower_liking__low_mentacy
5,5.0,-6.0,5.3,5.9,3.466666666666667,3.0,5.0,-0.6464646464646462,-4.303030303030303,2.7817569635751442,lower_liking,low_mentacy,lower_liking__low_mentacy
5,6.0,2.0,4.4,4.9,4.266666666666667,2.6666666666666665,4.0,0.3535353535353538,3.6969696969696972,1.3070094888276718,high_liking,higher_mentacy,high_liking__higher_mentacy
20,5.0,-4.0,4.4,4.7,4.066666666666666,3.0,3.0,-0.6464646464646462,-2.3030303030303028,1.4888276706458516,lower_liking,higher_mentacy,lower_liking__higher_mentacy
5,6.0,-6.0,4.7,4.0,3.4,4.333333333333333,1.0,0.3535353535353538,-4.303030303030303,-1.5212733394551587,high_liking,low_mentacy,high_liking__low_mentacy
0,6.0,0.0,4.0,3.7,6.8,4.0,2.0,0.3535353535353538,1.696969696969697,0.599938781756964,high_liking,higher_mentacy,high_liking__higher_mentacy
12,5.0,2.0,3.9,5.0,3.8,3.6666666666666665,4.0,-0.6464646464646462,3.6969696969696972,-2.3899602081420253,lower_liking,higher_mentacy,lower_liking__higher_mentacy
6,5.0,-6.0,5.4,6.1,3.2666666666666666,2.3333333333333335,4.0,-0.6464646464646462,-4.303030303030303,2.7817569635751442,lower_liking,low_mentacy,lower_liking__low_mentacy
5,5.0,-4.0,4.4,6.1,4.066666666666666,1.6666666666666667,4.0,-0.6464646464646462,-2.3030303030303028,1.4888276706458516,lower_liking,higher_mentacy,lower_liking__higher_mentacy
27,6.0,-2.0,4.7,5.3,3.1333333333333333,1.3333333333333333,5.0,0.3535353535353538,-0.303030303030303,-0.10713192531374356,high_liking,higher_mentacy,high_liking__higher_mentacy
2,6.0,-5.0,3.8,5.4,3.8666666666666663,1.6666666666666667,4.0,0.3535353535353538,-3.3030303030303028,-1.167737985919805,high_liking,low_mentacy,high_liking__low_mentacy
15,5.0,-6.0,4.5,3.0,3.8,5.0,6.0,-0.6464646464646462,-4.303030303030303,2.7817569635751442,lower_liking,low_mentacy,lower_liking__low_mentacy
12,6.0,-6.0,4.0,3.4,3.4,3.3333333333333335,2.0,0.3535353535353538,-4.303030303030303,-1.5212733394551587,high_liking,low_mentacy,high_liking__low_mentacy
16,6.0,3.0,4.2,4.7,5.133333333333334,3.0,2.0,0.3535353535353538,4.696969696969697,1.6605448423630256,high_liking,higher_mentacy,high_liking__higher_mentacy
13,4.0,-4.0,4.1,5.5,3.6,3.3333333333333335,2.0,-1.6464646464646462,-2.3030303030303028,3.7918579736761546,lower_liking,higher_mentacy,lower_liking__higher_mentacy
6,5.0,-3.0,4.0,4.3,3.6,2.6666666666666665,3.0,-0.6464646464646462,-1.303030303030303,0.8423630241812056,lower_liking,higher_mentacy,lower_liking__higher_mentacy
10,5.0,-2.0,4.9,4.5,3.2666666666666666,2.0,5.0,-0.6464646464646462,-0.303030303030303,0.1958983777165594,lower_liking,higher_mentacy,lower_liking__higher_mentacy
2,4.0,-6.0,5.8,3.8,4.2,4.0,3.0,-1.6464646464646462,-4.303030303030303,7.0847872666054466,lower_liking,low_mentacy,lower_liking__low_mentacy
40,6.0,5.0,4.9,4.9,4.0,5.0,1.0,0.3535353535353538,6.696969696969697,2.3676155494337334,high_liking,higher_mentacy,high_liking__higher_mentacy
116,7.0,4.0,5.3,3.6,5.133333333333334,2.6666666666666665,4.0,1.3535353535353538,5.696969696969697,7.711049892868076,high_liking,higher_mentacy,high_liking__higher_mentacy
11,4.0,-5.0,4.8,3.4,2.7333333333333334,3.6666666666666665,5.0,-1.6464646464646462,-3.3030303030303028,5.4383226201408,lower_liking,low_mentacy,lower_liking__low_mentacy
128,5.0,4.0,4.5,5.2,4.4,7.0,3.0,-0.6464646464646462,5.696969696969697,-3.6828895010713176,lower_liking,higher_mentacy,lower_liking__higher_mentacy
22,5.0,-4.0,4.2,4.1,4.733333333333333,3.0,2.0,-0.6464646464646462,-2.3030303030303028,1.4888276706458516,lower_liking,higher_mentacy,lower_liking__higher_mentacy
2,4.0,-3.0,4.6,4.6,5.133333333333334,4.0,4.0,-1.6464646464646462,-1.303030303030303,2.1453933272115084,lower_liking,higher_mentacy,lower_liking__higher_mentacy
13,7.0,4.0,3.7,4.7,3.933333333333333,6.666666666666667,2.0,1.3535353535353538,5.696969696969697,7.711049892868076,high_liking,higher_mentacy,high_liking__higher_mentacy
11,6.0,-4.0,4.3,4.6,5.266666666666667,3.3333333333333335,4.0,0.3535353535353538,-2.3030303030303028,-0.8142026323844511,high_liking,higher_mentacy,high_liking__higher_mentacy
20,6.0,-4.0,5.0,5.5,5.8,5.0,2.0,0.3535353535353538,-2.3030303030303028,-0.8142026323844511,high_liking,higher_mentacy,high_liking__higher_mentacy
11,5.0,-5.0,4.7,4.2,4.266666666666667,3.6666666666666665,2.0,-0.6464646464646462,-3.3030303030303028,2.135292317110498,lower_liking,low_mentacy,lower_liking__low_mentacy
22,6.0,3.0,4.7,4.2,5.4,5.0,2.0,0.3535353535353538,4.696969696969697,1.6605448423630256,high_liking,higher_mentacy,high_liking__higher_mentacy
10,6.0,6.0,6.2,3.3,3.7333333333333334,2.6666666666666665,2.0,0.3535353535353538,7.696969696969697,2.7211509029690872,high_liking,higher_mentacy,high_liking__higher_mentacy
12,6.0,2.0,4.6,5.2,8.0,3.3333333333333335,4.0,0.3535353535353538,3.6969696969696972,1.3070094888276718,high_liking,higher_mentacy,high_liking__higher_mentacy
5,5.0,-5.0,3.8,6.1,4.866666666666666,3.6666666666666665,5.0,-0.6464646464646462,-3.3030303030303028,2.135292317110498,lower_liking,low_mentacy,lower_liking__low_mentacy
7,6.0,-6.0,5.5,4.2,2.7333333333333334,6.333333333333333,2.0,0.3535353535353538,-4.303030303030303,-1.5212733394551587,high_liking,low_mentacy,high_liking__low_mentacy
3,4.0,-5.0,3.1,4.8,3.3333333333333335,1.3333333333333333,3.0,-1.6464646464646462,-3.3030303030303028,5.4383226201408,lower_liking,low_mentacy,lower_liking__low_mentacy
3,5.0,-2.0,3.5,5.6,4.266666666666667,2.3333333333333335,2.0,-0.6464646464646462,-0.303030303030303,0.1958983777165594,lower_liking,higher_mentacy,lower_liking__higher_mentacy
10,6.0,-2.0,5.1,5.0,3.533333333333333,5.333333333333333,4.0,0.3535353535353538,-0.303030303030303,-0.10713192531374356,high_liking,higher_mentacy,high_liking__higher_mentacy
25,4.0,-5.0,3.5,5.4,5.133333333333334,5.333333333333333,1.0,-1.6464646464646462,-3.3030303030303028,5.4383226201408,lower_liking,low_mentacy,lower_liking__low_mentacy
13,6.0,-5.0,5.1,4.5,2.7333333333333334,5.0,2.0,0.3535353535353538,-3.3030303030303028,-1.167737985919805,high_liking,low_mentacy,high_liking__low_mentacy
7,6.0,-3.0,4.3,4.4,2.933333333333333,4.333333333333333,3.0,0.3535353535353538,-1.303030303030303,-0.46066727884909736,high_liking,higher_mentacy,high_liking__higher_mentacy
37,6.0,-4.0,4.1,2.6,4.533333333333333,3.6666666666666665,3.0,0.3535353535353538,-2.3030303030303028,-0.8142026323844511,high_liking,higher_mentacy,high_liking__higher_mentacy
11,7.0,5.0,6.4,2.4,6.4,5.0,4.0,1.3535353535353538,6.696969696969697,9.06458524640343,high_liking,higher_mentacy,high_liking__higher_mentacy
10,5.0,5.0,4.6,5.0,4.733333333333333,4.666666666666667,6.0,-0.6464646464646462,6.696969696969697,-4.329354147535964,lower_liking,higher_mentacy,lower_liking__higher_mentacy
4,6.0,-6.0,5.2,4.1,4.933333333333334,1.0,4.0,0.3535353535353538,-4.303030303030303,-1.5212733394551587,high_liking,low_mentacy,high_liking__low_mentacy
108,7.0,-3.0,4.3,3.8,3.4,4.0,2.0,1.3535353535353538,-1.303030303030303,-1.7636975818794003,high_liking,higher_mentacy,high_liking__higher_mentacy
0,7.0,5.0,5.3,4.7,7.266666666666667,5.333333333333333,3.0,1.3535353535353538,6.696969696969697,9.06458524640343,high_liking,higher_mentacy,high_liking__higher_mentacy
90,7.0,-6.0,5.8,4.5,4.933333333333334,4.333333333333333,3.0,1.3535353535353538,-4.303030303030303,-5.824303642485462,high_liking,low_mentacy,high_liking__low_mentacy
